latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1571,"15 william street, 27h",27H,10005,"1,400,000",15 william street,1,0,1,5484,1230,79
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1579,"15 william street, 28h",28H,10005,"1,425,000",15 william street,0,23,23,7313,101203,97
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1619,"15 william street, 33i",33I,10005,"1,475,000",15 william street,2,1,3,7500,7500,85
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1620,"15 william street, 34a",34A,10005,"1,580,000",15 william street,17,0,17,4808,16200,97
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1654,"15 william street, 38c",38C,10005,"1,221,900",15 william street,2,0,2,1600,4160,119
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1655,"15 william street, 38d",38D,10005,"882,500",15 william street,2,0,2,2000,1248,57
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1679,"15 william street, 41i",41I,10005,"1,550,000",15 william street,2,1,3,2300,3795,43
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1685,"15 william street, 42c",42C,10005,"1,180,000",15 william street,4,0,4,2500,3000,86
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1693,"15 william street, 43i",43I,10005,"1,600,000",15 william street,1,0,1,690,690,2
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1021,"15 broad street, 1102",1102,10005,"985,000",15 broad street,1,0,1,3800,1125,74
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1026,"15 broad street, 1112",1112,10005,"1,630,000",15 broad street,1,0,1,2058,1690,68
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1037,"15 broad street, 1202",1202,10005,"905,000",15 broad street,2,0,2,2000,3843,108
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1044,"15 broad street, 1216",1216,10005,"1,700,000",15 broad street,1,0,1,4000,1440,73
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1051,"15 broad street, 1400",1400,10005,"1,600,000",15 broad street,1,0,1,5962,2560,2
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1071,"15 broad street, 1506",1506,10005,"1,160,000",15 broad street,1,0,1,4000,1156,68
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1083,"15 broad street, 1600",1600,10005,"1,950,000",15 broad street,1,0,1,10000,1975,82
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1112,"15 broad street, 1726",1726,10005,"1,220,000",15 broad street,1,0,1,25015,2504,7
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1143,"15 broad street, 1926",1926,10005,"1,325,000",15 broad street,1,0,1,2400,1480,20
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1148,"15 broad street, 2004",2004,10005,"1,160,000",15 broad street,2,0,2,3000,2112,11
42.114936,-75.955781,"""15 Broad Street""",1,FINANCIAL,26,1157,"15 broad street, 2024",2024,10005,"1,375,000",15 broad street,1,0,1,1950,1782,66
